Abilene Christian Wildcats,Abilene Christian
Air Force Falcons,Air Force
Akron Zips,Akron
Alabama A&M Bulldogs,Alabama A&M
Alabama Crimson Tide,Alabama
Alabama State Hornets,Alabama St.
Albany Great Danes,Albany (NY)
Alcorn State Braves,Alcorn
American University Eagles,American
Appalachian State Mountaineers,App State
Arizona State Sun Devils,Arizona St.
Arizona Wildcats,Arizona
Arkansas Razorbacks,Arkansas
Arkansas State Red Wolves,Arkansas St.
Arkansas-(Little Rock) Trojans,Little Rock
Arkansas-(Pine Bluff) Golden Lions,Ark.-Pine Bluff
Army Black Knights,Army West Point
Auburn Tigers,Auburn
Austin Peay Governors,Austin Peay
Ball State Cardinals,Ball St.
Baylor Bears,Baylor
Bellarmine Knights,Bellarmine
Belmont Bruins,Belmont
Bethune-Cookman Wildcats,Bethune-Cookman
Binghamton Bearcats,Binghamton
Boise State Broncos,Boise St.
Boston College Eagles,Boston College
Boston University Terriers,Boston U.
Bowling Green Falcons,Bowling Green
Bradley Braves,Bradley
Brigham Young Cougars,BYU
Brown Bears,Brown
Bryant University Bulldogs,Bryant
Bucknell Bison,Bucknell
Buffalo Bulls,Buffalo
Butler Bulldogs,Butler
Cal Poly SLO Mustangs,Cal Poly
Cal State Bakersfield Roadrunners,CSU Bakersfield
Cal State Fullerton Titans,Cal St. Fullerton
Cal State Northridge Matadors,CSUN
California Baptist Lancers,California Baptist
California Golden Bears,California
Campbell Fighting Camels,Campbell
Canisius Golden Griffins,Canisius
Central Arkansas Bears,Central Ark
Central Connecticut State Blue Devils,Central Conn. St.
Central Michigan Chippewas,Central Mich.
Charleston Cougars,Col. of Charleston
Charleston Southern Buccaneers,Charleston So.
Charlotte 49ers,Charlotte
Chattanooga Mocs,Chattanooga
Chicago State Cougars,Chicago St.
Cincinnati Bearcats,Cincinnati
Citadel Bulldogs,The Citadel
Clemson Tigers,Clemson
Cleveland State Vikings,Cleveland St.
Coastal Carolina Chanticleers,Coastal Carolina
Colgate Raiders,Colgate
Colorado Buffaloes,Colorado
Colorado State Rams,Colorado St.
Columbia Lions,Columbia
Connecticut Huskies,UConn
Coppin State Eagles,Coppin St.
Cornell Big Red,Cornell
Creighton Bluejays,Creighton
Dartmouth Big Green,Dartmouth
Davidson Wildcats,Davidson
Dayton Flyers,Dayton
